gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
TUBB6	10.60975835	10.37366385	10.10057537	11.57707989	11.08839876	9.363147746	11.43518435	11.60225606	10.90177536	11.19496493	11.13607742	10.77883268	11.55761899	11.70905169	12.2585629	10.30375289	12.15789268	7.632713593	12.66332303	9.640207679	9.477238749	13.08942957
S100A14	8.484257425	11.90999487	10.2609621	11.7057487	8.820905037	11.20369203	11.24487232	9.786338357	10.20030857	11.18766289	11.46532782	10.94685583	9.963654001	10.33859393	11.79206996	12.43423446	5.300742356	7.146582548	5.73884522	8.78464169	8.915017845	6.321809861
IL1A	7.745450453	7.379966304	8.683227031	8.994404377	9.218338958	7.798668145	6.90929278	8.858730354	8.217301805	7.233995319	8.115447466	8.810741736	7.744948676	6.868769448	6.826886886	8.259116315	7.88930704	7.882627911	7.228573901	8.339733598	8.263075585	7.216240856
SH3YL1	4.251063798	6.657813308	4.671861045	5.198865851	4.939885193	4.093211283	3.393869337	3.272907253	6.7103989	4.775195512	4.514766081	3.983459075	5.365035569	4.152680183	4.42272794	4.000088097	6.664059932	4.449507954	4.06049332	3.948374258	5.762162237	5.352621118
FN1	6.34134502	6.071058138	4.752114191	6.981097771	4.470957059	6.700963037	5.388888219	5.584882861	6.320798393	4.391434293	6.357162988	7.226051057	6.402026241	4.490601094	5.841160594	5.797701531	7.188208425	1.832753483	6.581479366	5.427024797	4.108289355	3.415312552
LGALS3	3.695322102	6.873866319	3.696261851	7.073687777	5.95045784	6.550201967	5.303685549	5.82427613	3.696419647	3.637472208	2.589446925	6.043336887	6.355968046	4.23018423	6.047388548	5.349134094	1.484420134	5.670738056	6.223937043	5.066811709	6.49476474	5.316048363
GJA1	8.991415017	11.62463122	3.68702809	11.66285542	7.403104874	6.470993642	11.232314	4.407701798	2.259675026	10.40240812	10.96920988	12.59422541	1.33278136	10.49704894	13.37149567	12.96930152	13.40912569	12.00432328	10.06371051	5.84718124	4.864928198	2.662254784
CLU	5.918342126	6.27459035	4.527024699	5.978650492	6.96612413	5.922216916	5.639043816	6.137378146	1.457851399	5.690074809	6.389472738	7.274017327	6.561993132	7.060356143	2.462971851	6.086645059	6.005512412	6.120929057	5.479158959	4.660423672	5.322936346	6.554702094
MAGEA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A6	9.56718477	15.45674475	15.61364179	13.69136503	15.74961033	15.69368803	15.398087	15.26723394	14.7654808	14.19300604	14.8554481	14.48345852	15.22375003	14.46599182	14.60732026	14.16707641	13.95815832	15.11472974	15.23800853	15.03591613	15.28241777	14.78169341
NEDD9	3.367212707	5.782029376	6.061844096	5.826342787	6.28017132	5.990224763	4.589756667	6.359861289	3.449573261	5.169107044	5.981264898	7.26360613	6.628000597	6.197882051	6.74335339	5.991321425	3.035793864	5.590162343	5.297504969	5.855720923	6.046021933	2.350366876
LAD1	7.693457068	10.11091443	9.501829644	10.13821211	9.134391234	10.11694559	8.779162879	10.14572856	9.278602076	8.341416202	9.544270484	9.650418976	9.385371989	9.275554985	8.733698437	8.968545041	4.51259808	8.145233066	4.718891065	9.652515098	9.929507595	4.174808148
EMP3	4.082683994	5.290923814	10.02226677	9.634139766	10.38270221	7.034706024	9.452667813	9.585754575	6.849614654	5.360655362	7.960442011	8.001998241	6.35042562	6.838427798	6.980102586	7.264388095	11.24224294	10.30017831	10.99745572	9.892236196	10.52328461	12.1498172
COL4A2	11.49039014	7.551868628	2.723280699	6.652721489	5.850682669	6.064602632	5.906814191	12.28440569	5.659169042	9.354720731	4.82581989	7.457168179	6.654363805	13.11834638	11.21383137	11.21032208	5.416397226	3.861949231	5.812993993	7.112543607	5.392361524	9.442713456
GNG11	3.314231097	6.117228119	8.422391136	9.413712226	7.190147186	9.73813974	9.382008066	10.49118393	1.257603653	9.791979909	5.734305865	6.515856568	0.996261815	10.98047948	11.43809842	8.771027043	13.15616111	13.18766025	9.88652535	10.28405395	10.05393856	5.66156892
SACS	8.590557335	8.077892349	8.860313691	10.17804945	8.043469796	9.83572455	9.777097254	10.7551335	9.188253178	8.859164776	7.917448644	8.437065243	9.358702388	10.70285255	9.936554893	9.034161096	11.2094794	10.54408363	11.02676579	9.972089838	9.47670462	9.981035262
GALNT1	12.32810174	11.21931396	11.7306082	13.60726308	11.58848323	12.59128504	9.543713857	11.53629492	10.68114168	11.22203895	12.66905292	13.62011151	10.68645062	12.96544577	13.57923589	12.67784505	11.74540366	11.96516177	13.21369701	13.05171325	12.99650397	11.71983953
TXNIP	3.754638234	13.29303932	12.78038996	12.43619451	12.35863193	10.98748188	12.86956384	12.78439913	11.06492288	13.15150183	12.48869405	12.2157252	9.507499733	8.331970061	9.551518156	10.97055941	10.98052588	13.16910846	7.022526082	11.76172268	12.90540113	13.02881405
CDH3	5.721184241	10.17227884	11.08489576	11.66649215	9.824623698	9.615509378	9.968475027	10.11478203	10.31773443	11.29096547	10.3190659	10.38126337	9.599302899	10.53317156	10.40570064	11.96819436	2.761620797	7.890104789	3.054239859	9.167292771	8.311388154	1.851272591
HMGA2	4.21990074	7.602366901	4.600110107	7.332920096	6.097977059	6.383313354	5.756757701	6.778219385	8.287070654	5.952094077	8.301956424	6.688387721	6.95867627	2.052596594	6.925083263	6.116953519	7.349708415	7.701687657	7.264809805	7.925974087	7.263810096	5.508907014
OLR1	8.946802507	6.486896432	5.830916716	7.399297189	5.976278573	8.057480421	5.874927173	7.071943997	6.598734804	11.56494289	7.230992489	8.31148223	1.859480141	12.10808682	6.88726461	10.94429381	6.658485939	7.502429266	6.404649343	5.772655472	6.383885381	5.441545938
