gene	Nor-P1	HPAF-II	CaPan-2	BxPC-3	Panc02.03	Panc05.04	SU86.86	Panc03.27	PL45	Panc03.3	Panc06.03	CFPAC	Panc010.05	Colo0357	L3.60pl	Panc02.13	Panc08.13	HS766t	Panc-1	ASPC-1	Mpanc-96	MiaPaCa-2
SRGN	6.776877261	4.898181309	6.13909114	6.031939352	2.71251362	4.298857268	5.806523574	5.463070914	1.78745948	3.606980009	5.870072714	5.326246795	3.946248872	3.317603153	2.036865594	4.895696164	5.171023614	5.230898811	3.518893709	5.156824998	2.769314461	7.219192867
PLAC8	11.06311395	12.02615946	14.33037589	10.0628332	13.10691311	14.63638965	14.56551221	13.99879553	7.220996259	3.357957093	14.0094687	14.37935986	7.590265981	6.016888667	8.709595821	12.93868929	12.61542803	13.3141236	13.27278095	15.52204218	15.21842584	12.46489481
CXADR	5.484998348	5.402969679	7.225853999	9.309882087	7.195737563	6.699900269	8.213945199	9.660934573	7.664505137	8.291554637	8.633931716	9.376026899	6.18992756	8.891261695	9.535354009	9.21744418	6.611990713	6.50963863	5.923026332	9.46976203	8.621116458	6.269324679
SLPI	4.369207178	9.675904328	13.52668843	12.59670092	10.08351578	11.81501477	14.73630841	9.186219366	7.544928593	14.22648897	12.17003276	13.55934791	6.718812593	13.40095196	12.98358577	14.62835605	6.426135432	11.3189069	7.559287191	12.35402995	12.04450846	4.019290601
AXL	5.359121708	6.755353101	8.093099106	9.050476967	9.871782345	9.440550821	6.449730842	9.345129431	10.52577165	5.850756279	6.77583091	8.163442272	9.519844567	7.113286461	8.722997408	8.304886435	8.835233329	8.589777354	8.71252788	6.449272264	7.883236642	7.649845949
TMEM30B	5.432037502	12.20768786	11.95693605	11.45465389	11.33288168	11.62480529	12.30379159	11.56208001	11.90039631	10.94823603	12.41926176	11.90100394	12.22549441	10.97478712	10.64230923	11.81950811	7.669902726	6.566893498	2.334876298	6.502139257	3.166459114	7.022784291
CD24	4.721665435	10.69477801	3.500166779	12.67651823	6.118288602	13.77053102	12.49295504	12.08770152	8.245856302	12.41119118	13.098583	13.94674702	8.870948726	12.08268232	8.250061896	12.88267001	6.978936062	13.04132948	10.27610641	5.896492869	6.071463218	2.590658886
S100P	12.78963419	14.45620551	13.39421942	12.87208128	11.26219755	12.60770115	14.76223063	6.26902455	3.007752882	14.35706885	13.90730882	13.53765598	1.911831121	13.98285276	9.582545006	14.05193814	10.25679825	11.72900702	2.229458141	10.27792792	10.47020927	5.350612472
CST6	7.343538513	8.470353142	10.30847426	7.346133598	12.77569116	10.63947119	12.47189929	13.39301576	13.86243223	6.488309223	12.33151707	10.88417182	13.85537579	6.456015281	7.165632771	9.62389088	6.468481994	8.657124656	3.068276806	3.744311222	5.873706483	2.806737328
MAOA	3.213143616	9.157838338	8.481695777	1.134256965	3.260983568	10.02872516	8.087540266	7.097831647	10.38009456	7.324378565	7.628898678	7.130606789	11.50646551	7.477203598	9.923737427	8.431700835	7.868390329	9.683178437	2.271657829	3.926776773	2.633636269	1.701998682
